"Story","Title","Result","Date","Stability","Duration (s)"
"Pain XML","IBAN is valid","SUCCESS","2024-03-21T14:47:42.138134+02:00[Europe/Bucharest]","0.0","0.03"
"Pain1 XML","IBAN is valid","ERROR","2024-03-21T14:47:42.297806+02:00[Europe/Bucharest]","0.0","0.02"
