"Story","Title","Result","Date","Stability","Duration (s)"
"Pain1 XML","Validate XML","FAILURE","2024-03-22T18:59:01.66127+02:00[Europe/Bucharest]","0.0","0.03"
"Pain1 XML","Minimum 2 digits","FAILURE","2024-03-22T18:59:01.695322+02:00[Europe/Bucharest]","0.0","0.02"
"Pain1 XML","debtor amount is equal to the sum of all credits","FAILURE","2024-03-22T18:59:01.714425+02:00[Europe/Bucharest]","0.0","0.01"
"Pain1 XML","transaction date is not in the future","FAILURE","2024-03-22T18:59:01.730667+02:00[Europe/Bucharest]","0.0","0.01"
"Pain1 XML","IBAN is valid","FAILURE","2024-03-22T18:59:01.749939+02:00[Europe/Bucharest]","0.0","0.01"
