"Story","Title","Result","Date","Stability","Duration (s)"
"Pain XML","transaction date is not in the future","SUCCESS","2024-03-22T18:59:01.630418+02:00[Europe/Bucharest]","0.0","0.01"
"Pain1 XML","transaction date is not in the future","FAILURE","2024-03-22T18:59:01.730667+02:00[Europe/Bucharest]","0.0","0.01"
