"Story","Title","Result","Date","Stability","Duration (s)"
"Pain XML","transaction date is not in the future","SUCCESS","2024-03-21T14:47:42.102534+02:00[Europe/Bucharest]","0.0","0.03"
"Pain1 XML","transaction date is not in the future","FAILURE","2024-03-21T14:47:42.269365+02:00[Europe/Bucharest]","0.0","0.03"
