"Story","Title","Result","Date","Stability","Duration (s)"
"Pain XML","Validate XML","FAILURE","2024-03-22T18:59:01.142477+02:00[Europe/Bucharest]","0.0","0.45"
"Pain1 XML","Validate XML","FAILURE","2024-03-22T18:59:01.66127+02:00[Europe/Bucharest]","0.0","0.03"
