"Story","Title","Result","Date","Stability","Duration (s)"
"Pain XML","Minimum 2 digits","SUCCESS","2024-03-22T15:14:18.516428+02:00[Europe/Bucharest]","0.0","0.39"
"Pain XML","debtor amount is equal to the sum of all credits","SUCCESS","2024-03-22T15:14:18.914183+02:00[Europe/Bucharest]","0.0","0.03"
"Pain XML","transaction date is not in the future","SUCCESS","2024-03-22T15:14:18.951154+02:00[Europe/Bucharest]","0.0","0.03"
"Pain XML","IBAN is valid","SUCCESS","2024-03-22T15:14:18.984149+02:00[Europe/Bucharest]","0.0","0.03"
