"Story","Title","Result","Date","Stability","Duration (s)"
"Pain XML","Minimum 2 digits","SUCCESS","2024-03-21T14:47:41.67685+02:00[Europe/Bucharest]","0.0","0.38"
"Pain1 XML","Minimum 2 digits","FAILURE","2024-03-21T14:47:42.168228+02:00[Europe/Bucharest]","0.0","0.07"
